Year,Decade, Amt ,ColorHtml,Color
1950,1950," $33,419,775 ",#04B404,Green
1951,1950," $65,621,525 ",#04B404,Green
1952,1950," $82,197,125 ",#04B404,Green
1953,1950," $557,146,750 ",#04B404,Green
1954,1950," $97,770,925 ",#04B404,Green
1955,1950," $105,661,000 ",#04B404,Green
1956,1950," $90,482,100 ",#04B404,Green
1957,1950," $185,108,125 ",#04B404,Green
1958,1950," $68,050,150 ",#04B404,Green
1959,1950," $93,109,950 ",#04B404,Green
1960,1960," $109,283,625 ",#0040FF,Blue
1961,1960," $140,451,950 ",#0040FF,Blue
1962,1960," $62,070,925 ",#0040FF,Blue
1963,1960," $92,339,500 ",#0040FF,Blue
1964,1960," $148,767,450 ",#0040FF,Blue
1965,1960," $1,433,271,300 ",#0040FF,Blue
1966,1960," $436,512,200 ",#0040FF,Blue
1967,1960," $510,803,200 ",#0040FF,Blue
1968,1960," $230,248,625 ",#0040FF,Blue
1969,1960," $101,272,725 ",#0040FF,Blue
1970,1970," $523,521,200 ",#2ECCFA,SkyBlue
1971,1970," $200,739,250 ",#2ECCFA,SkyBlue
1972,1970," $185,404,925 ",#2ECCFA,SkyBlue
1973,1970," $760,854,725 ",#2ECCFA,SkyBlue
1974,1970," $1,835,905,025 ",#2ECCFA,SkyBlue
1975,1970," $624,377,500 ",#2ECCFA,SkyBlue
1976,1970," $261,449,650 ",#2ECCFA,SkyBlue
1977,1970," $301,965,025 ",#2ECCFA,SkyBlue
1978,1970," $559,511,975 ",#2ECCFA,SkyBlue
1979,1970," $1,289,519,550 ",#2ECCFA,SkyBlue
1980,1980," $1,665,305,075 ",#8258FA,Purple
1981,1980," $754,718,700 ",#8258FA,Purple
1982,1980," $1,235,853,600 ",#8258FA,Purple
1983,1980," $701,900,175 ",#8258FA,Purple
1984,1980," $1,335,640,250 ",#8258FA,Purple
1985,1980," $1,186,201,425 ",#8258FA,Purple
1986,1980," $1,010,654,550 ",#8258FA,Purple
1987,1980," $369,468,100 ",#8258FA,Purple
1988,1980," $839,117,800 ",#8258FA,Purple
1989,1980," $1,285,507,550 ",#8258FA,Purple
1990,1990," $811,154,225 ",#F781F3,Pink
1991,1990," $878,722,775 ",#F781F3,Pink
1992,1990," $1,207,741,000 ",#F781F3,Pink
1993,1990," $514,982,525 ",#F781F3,Pink
1994,1990," $870,913,150 ",#F781F3,Pink
1995,1990," $1,031,768,375 ",#F781F3,Pink
1996,1990," $5,806,445,665 ",#F781F3,Pink
1997,1990," $3,035,752 ",#F781F3,Pink
1998,1990," $2,756,700,153 ",#F781F3,Pink
1999,1990," $278,118,133 ",#F781F3,Pink
2000,2000," $275,584,909 ",#DBA901,BurntOrange
2001,2000," $553,918,788 ",#DBA901,BurntOrange
2002,2000," $338,590,670 ",#DBA901,BurntOrange
2003,2000," $3,331,119,571 ",#DBA901,BurntOrange
2004,2000," $306,667,287 ",#DBA901,BurntOrange
2005,2000," $55,615,030 ",#DBA901,BurntOrange
2006,2000," $308,889,574 ",#DBA901,BurntOrange
2007,2000," $2,812,917 ",#DBA901,BurntOrange
2008,2000," $3,138,486,115 ",#DBA901,BurntOrange
2009,2000," $9,148,836 ",#DBA901,BurntOrange
2010,2010," $28,367,389 ",#FE2E2E,Red
2011,2010," $559,298,553 ",#FE2E2E,Red
2012,2010," $3,589,840 ",#FE2E2E,Red
2013,2010," $3,387,015 ",#FE2E2E,Red
2014,2010," $309,213 ",#FE2E2E,Red
2015,2010," $34,412 ",#FE2E2E,Red
2016,2010," $188,060,200 ",#FE2E2E,Red
2017,2010," $670,140,200 ",#FE2E2E,Red
2018,2010," $492,763,300 ",#FE2E2E,Red
