Year,Decade,Amt,ColorHtml,Color
1950,1950,33419775,#04B404,Green
1951,1950,65621525,#04B404,Green
1952,1950,82197125,#04B404,Green
1953,1950,557146750,#04B404,Green
1954,1950,97770925,#04B404,Green
1955,1950,105661000,#04B404,Green
1956,1950,90482100,#04B404,Green
1957,1950,185108125,#04B404,Green
1958,1950,68050150,#04B404,Green
1959,1950,93109950,#04B404,Green
1960,1960,109283625,#0040FF,Blue
1961,1960,140451950,#0040FF,Blue
1962,1960,62070925,#0040FF,Blue
1963,1960,92339500,#0040FF,Blue
1964,1960,148767450,#0040FF,Blue
1965,1960,1433271300,#0040FF,Blue
1966,1960,436512200,#0040FF,Blue
1967,1960,510803200,#0040FF,Blue
1968,1960,230248625,#0040FF,Blue
1969,1960,101272725,#0040FF,Blue
1970,1970,523521200,#2ECCFA,SkyBlue
1971,1970,200739250,#2ECCFA,SkyBlue
1972,1970,185404925,#2ECCFA,SkyBlue
1973,1970,760854725,#2ECCFA,SkyBlue
1974,1970,1835905025,#2ECCFA,SkyBlue
1975,1970,624377500,#2ECCFA,SkyBlue
1976,1970,261449650,#2ECCFA,SkyBlue
1977,1970,301965025,#2ECCFA,SkyBlue
1978,1970,559511975,#2ECCFA,SkyBlue
1979,1970,1289519550,#2ECCFA,SkyBlue
1980,1980,1665305075,#8258FA,Purple
1981,1980,754718700,#8258FA,Purple
1982,1980,1235853600,#8258FA,Purple
1983,1980,701900175,#8258FA,Purple
1984,1980,1335640250,#8258FA,Purple
1985,1980,1186201425,#8258FA,Purple
1986,1980,1010654550,#8258FA,Purple
1987,1980,369468100,#8258FA,Purple
1988,1980,839117800,#8258FA,Purple
1989,1980,1285507550,#8258FA,Purple
1990,1990,811154225,#F781F3,Pink
1991,1990,878722775,#F781F3,Pink
1992,1990,1207741000,#F781F3,Pink
1993,1990,514982525,#F781F3,Pink
1994,1990,870913150,#F781F3,Pink
1995,1990,1031768375,#F781F3,Pink
1996,1990,5806445665,#F781F3,Pink
1997,1990,3035752,#F781F3,Pink
1998,1990,2756700153,#F781F3,Pink
1999,1990,278118133,#F781F3,Pink
2000,2000,275584909,#DBA901,BurntOrange
2001,2000,553918788,#DBA901,BurntOrange
2002,2000,338590670,#DBA901,BurntOrange
2003,2000,3331119571,#DBA901,BurntOrange
2004,2000,306667287,#DBA901,BurntOrange
2005,2000,55615030,#DBA901,BurntOrange
2006,2000,308889574,#DBA901,BurntOrange
2007,2000,2812917,#DBA901,BurntOrange
2008,2000,3138486115,#DBA901,BurntOrange
2009,2000,9148836,#DBA901,BurntOrange
2010,2010,28367389,#FE2E2E,Red
2011,2010,559298553,#FE2E2E,Red
2012,2010,3589840,#FE2E2E,Red
2013,2010,3387015,#FE2E2E,Red
2014,2010,309213,#FE2E2E,Red
2015,2010,34412,#FE2E2E,Red
2016,2010,188060200,#FE2E2E,Red
2017,2010,670140200,#FE2E2E,Red
2018,2010,492763300,#FE2E2E,Red
